Product URL,Feature,Value
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630474,LINHA PRODUTOS TINTAS,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630474,FUNCAO TINTA,Acabamento
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630474,SISTEMA RESINA,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630474,SOLIDOS VOLUME,50 ± 2% (ISO 3233 - 1998)
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630769,COR TINTA,Branco
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630769,COR COMERCIAL TINTA,Branco
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630769,Escala de cor,60.611
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630769,ACABAMENTO PINTURA,Liso
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630769,Brilho,Brilhante
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630769,EMBALAGEM,Tambor
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630769,LINHA PRODUTOS TINTAS,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630769,FUNCAO TINTA,Acabamento
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630769,SISTEMA RESINA,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17630769,SOLIDOS VOLUME,50 ± 2% (ISO 3233 - 1998)
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17965494,COR TINTA,Preto
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17965494,COR COMERCIAL TINTA,Preto
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17965494,Escala de cor,70.265
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17965494,ACABAMENTO PINTURA,Liso
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17965494,Brilho,Fosco
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17965494,EMBALAGEM,Balde Metálico
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17965494,LINHA PRODUTOS TINTAS,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17965494,FUNCAO TINTA,Acabamento
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17965494,SISTEMA RESINA,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17965494,SOLIDOS VOLUME,50 ± 2% (ISO 3233 - 1998)
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989384,COR TINTA,Vermelho
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989384,COR COMERCIAL TINTA,Vermelho
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989384,Escala de cor,RAL 3000
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989384,ACABAMENTO PINTURA,Liso
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989384,Brilho,Semi-Fosco
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989384,EMBALAGEM,Tambor
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17989384,LINHA PRODUTOS TINTAS,Poliéster
