Product URL,ACABAMENTO PINTURA,Brilho,COMPONENTE TINTA,CONTEUDO EMBALAGEM,COR COMERCIAL TINTA,COR TINTA,Classe Térmica,Cor,Cura,EMBALAGEM,Escala de cor,FUNCAO TINTA,Família,Função,LINHA PRODUTOS TINTAS,SISTEMA RESINA,SOLIDOS VOLUME,VERSAO TINTA
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-EP%C3%93XI-3003/p/10002907,,,,,,,,,,Lata Quadrada,,,,,Epóxi,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-EP%C3%93XI-3004/p/13467649,,,,,,,,,,Lata Quadrada,,,,,Epóxi,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-EP%C3%93XI-3005/p/10002911,,,,,,,,,,Lata Quadrada,,,,,Epóxi,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-EP%C3%93XI-3005/p/10002912,,,,,,,,,,Lata Redonda,,,,,Epóxi,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-EP%C3%93XI-3005/p/10002913,,,,,,,,,,Lata Retangular,,,,,Epóxi,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-EP%C3%93XI-3005/p/10002914,,,,,,,,,,Tambor,,,,,Epóxi,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-EP%C3%93XI-3007/p/10649024,,,,,,,,,,Lata Quadrada,,,,,Epóxi,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-EP%C3%93XI-3007/p/14061687,,,,,,,,,,Lata Retangular,,,,,Epóxi,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-EP%C3%93XI-3013/p/11685379,,,,,,,,,,Lata Quadrada,,,,,Epóxi,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-EP%C3%93XI-3013/p/11685382,,,,,,,,,,Tambor,,,,,Epóxi,,,
